Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
1068,315,97,3,3.3,4.9,8.52,0,0.96
1069,330,100,2,3.8,2.3,8.6,1,0.73
1070,300,93,1,2.4,3.6,7.17,1,0.92
1071,333,116,5,3.2,2.5,7.81,0,0.74
1072,333,114,3,4.0,3.2,7.05,1,0.92
1073,280,81,5,2.3,2.8,9.89,1,0.99
1074,291,114,3,4.6,4.0,7.4,0,0.83
1075,323,82,1,2.2,3.9,8.54,1,0.65
1076,338,87,5,2.6,4.3,9.24,0,0.65
1077,289,111,2,2.5,2.1,9.78,1,0.77
1078,316,101,2,4.8,3.3,7.08,0,0.52
1079,306,84,3,4.3,4.8,9.34,0,0.97
1080,305,114,4,3.3,2.4,9.95,0,0.56
1081,326,98,4,2.3,3.1,6.71,0,0.88
1082,313,106,1,2.7,2.2,6.02,1,0.92
1083,284,108,3,5.0,2.8,9.42,0,0.59
1084,338,89,4,3.4,4.4,7.12,0,0.98
1085,324,101,1,2.6,4.4,7.13,0,0.73
1086,302,91,5,2.1,3.4,8.72,0,0.76
1087,293,107,1,4.5,3.6,9.23,1,0.97
1088,280,104,2,3.0,3.0,8.18,0,0.86
1089,288,104,4,3.7,3.3,6.68,1,0.81
1090,327,94,4,2.6,3.4,7.03,1,0.82
1091,310,80,4,3.1,2.9,8.81,0,0.83
1092,295,88,2,2.9,4.6,7.07,1,0.86
1093,283,117,3,4.2,4.3,7.05,0,0.82
1094,304,83,5,3.1,5.0,6.95,0,0.95
1095,339,98,1,4.8,2.2,9.8,1,0.95
1096,307,89,1,2.2,4.1,8.29,1,0.92
1097,306,118,3,4.4,2.3,9.78,0,0.99
1098,280,97,4,3.1,2.1,9.73,1,0.81
1099,329,108,4,4.0,2.6,9.16,0,0.56
1100,307,98,4,2.5,3.7,8.27,0,0.88
1101,325,87,1,3.4,4.8,9.9,0,0.96
1102,333,111,3,2.4,3.0,9.16,0,0.81
1103,288,102,3,2.5,2.9,7.25,1,0.91
1104,293,115,1,4.7,3.4,6.7,0,0.83
1105,336,80,2,3.9,3.6,7.92,1,0.56
1106,311,93,3,2.7,4.8,6.12,0,0.69
1107,302,91,1,4.6,3.8,8.67,0,0.63
1108,281,90,2,4.8,2.6,8.7,0,0.71
1109,292,118,5,4.8,2.3,8.27,1,0.83
1110,305,114,1,3.9,3.5,7.49,1,0.93
1111,302,114,3,4.3,4.8,6.34,0,0.91
1112,293,107,3,4.6,4.7,6.54,0,0.59
1113,323,106,3,4.2,2.4,6.28,1,0.63
1114,326,80,3,2.9,3.4,7.81,1,0.71
1115,289,92,4,3.4,3.9,6.41,0,0.98
1116,298,92,4,3.0,4.6,6.5,1,0.94
1117,330,83,3,4.1,3.3,9.84,1,0.94
1118,314,80,4,4.6,4.4,9.99,0,0.61
1119,337,114,5,3.3,2.8,8.58,0,0.7
1120,323,90,4,4.1,2.5,7.07,0,0.77
1121,312,111,3,4.5,4.5,6.86,1,0.58
1122,308,115,4,4.2,3.6,7.07,1,0.88
1123,330,90,1,4.2,4.6,7.54,1,0.8
1124,322,104,2,2.9,4.2,6.8,1,0.61
1125,340,95,2,4.9,3.6,7.87,1,0.55
1126,290,88,4,3.9,3.7,8.9,0,0.51
1127,326,110,3,4.9,4.2,9.93,1,0.56
1128,304,120,4,3.5,4.7,8.77,0,0.94
1129,298,96,5,3.0,3.2,9.34,1,0.61
1130,285,98,1,2.6,3.5,9.57,0,0.86
1131,298,106,5,3.3,4.3,9.9,0,0.79
1132,282,98,1,3.4,4.2,9.37,1,0.51
1133,294,84,1,4.1,2.4,8.23,0,0.59
1134,326,114,4,4.3,4.8,8.07,0,0.88
1135,287,80,2,3.8,3.0,8.92,0,0.85
1136,322,88,2,2.5,2.3,6.96,0,0.81
1137,325,113,5,2.2,4.2,6.16,0,0.52
1138,312,98,1,3.3,2.8,7.74,1,0.59
1139,298,108,1,2.1,3.0,6.64,1,0.96
1140,296,101,4,3.3,2.5,6.59,1,0.81
1141,287,111,3,2.3,3.0,8.05,0,0.84
1142,289,111,1,4.1,3.4,8.17,0,0.86
1143,339,96,1,2.9,2.3,9.57,1,0.53
1144,293,117,4,2.6,3.3,8.49,0,0.94
1145,312,97,4,4.3,2.1,8.02,0,0.68
1146,292,101,1,2.5,2.2,9.8,0,0.55
1147,313,110,1,2.0,4.4,8.71,1,0.99
1148,336,118,4,4.0,4.1,8.8,1,0.8
1149,299,96,3,3.0,2.1,7.12,0,0.69
1150,303,89,1,4.0,3.3,9.69,0,0.94
1151,321,109,1,2.5,2.8,7.12,1,0.78
1152,298,112,5,4.5,4.1,7.28,1,0.61
1153,301,84,4,2.1,2.6,8.32,1,0.83
1154,339,101,2,3.9,3.3,6.44,1,0.89
1155,332,107,3,3.4,3.4,8.62,1,0.85
1156,328,90,3,3.9,3.8,9.9,1,0.73
1157,305,83,2,2.5,2.3,6.06,0,0.64
1158,309,96,5,2.5,2.9,8.09,1,0.83
1159,326,111,5,4.5,2.1,6.87,0,0.59
1160,314,92,1,4.2,2.5,7.01,0,0.66
1161,304,84,4,4.2,2.8,7.31,0,0.66
1162,317,107,1,3.9,2.3,7.09,0,0.97
1163,303,119,3,4.0,3.0,6.98,1,0.9
1164,323,107,5,3.2,4.1,8.14,1,0.86
1165,336,95,3,3.7,3.4,8.0,0,0.88
1166,301,84,2,2.4,4.6,6.23,0,0.57
1167,323,97,3,4.3,3.6,7.47,0,0.68
1168,304,118,3,2.3,4.0,7.01,0,0.64
1169,312,90,3,2.1,4.8,9.95,0,0.89
1170,329,98,3,2.9,4.7,9.79,1,0.96
1171,330,95,1,4.4,2.9,8.13,0,0.59
1172,288,85,3,4.3,4.5,6.76,0,0.73
1173,329,92,5,3.7,4.1,8.78,0,0.73
1174,330,115,3,4.3,3.2,8.92,0,0.98
1175,313,110,4,4.9,4.5,6.61,0,0.62
1176,313,90,1,3.6,2.2,6.43,0,0.61
1177,330,95,2,3.5,4.8,7.42,0,0.51
1178,285,97,1,4.2,4.2,8.53,0,0.55
1179,335,104,3,2.4,3.5,7.34,0,0.98
1180,327,101,1,5.0,4.2,6.65,1,0.63
1181,333,107,2,3.6,4.1,7.36,1,0.6
1182,316,110,5,2.4,2.7,8.57,1,0.71
1183,287,81,4,3.1,3.4,8.59,1,0.61
1184,297,86,1,5.0,2.2,6.09,1,0.65
1185,317,86,4,4.6,2.2,6.34,0,0.79
1186,299,85,2,2.3,3.2,7.36,1,0.7
1187,296,106,1,4.6,3.6,9.6,0,0.66
1188,314,97,2,2.0,3.1,6.41,0,0.66
1189,310,80,4,4.7,2.3,8.02,0,0.74
1190,324,93,1,3.1,4.9,8.89,0,0.64
1191,307,81,2,2.1,3.6,7.5,1,0.63
1192,328,98,2,4.5,3.8,7.21,1,0.85
1193,324,112,5,3.9,3.8,8.86,0,0.82
1194,340,87,3,2.0,2.9,6.56,0,0.54
1195,328,93,3,3.9,4.0,9.98,1,0.81
1196,308,90,1,2.7,3.5,8.71,1,0.96
1197,309,117,3,4.0,4.7,6.86,1,0.72
1198,322,105,5,2.6,2.9,6.79,1,0.77
1199,294,104,1,4.0,3.0,6.89,1,0.65
1200,330,101,3,3.7,4.8,6.51,1,0.71
1201,339,84,3,4.4,2.1,8.8,0,0.75
1202,328,84,1,3.3,4.6,9.46,1,0.56
1203,314,91,1,2.2,4.3,8.28,1,0.98
1204,324,120,5,4.2,4.2,6.32,0,1.0
1205,330,91,2,2.4,2.8,8.38,0,0.79
1206,317,114,3,3.7,4.9,9.49,0,0.71
1207,283,108,3,2.9,3.2,7.23,0,0.65
1208,282,112,5,2.5,2.2,8.61,0,0.65
1209,322,81,1,3.9,3.7,8.71,0,0.99
1210,326,104,5,3.3,4.5,9.72,0,0.86
1211,331,80,2,2.8,2.8,7.72,0,0.91
1212,297,115,4,2.1,2.9,6.57,0,0.76
1213,285,111,1,2.2,4.7,7.77,1,0.5
1214,294,92,1,3.0,3.3,7.25,0,0.56
1215,281,84,3,3.7,2.5,6.78,1,0.5
1216,305,83,4,3.8,3.8,9.54,1,0.84
1217,330,106,3,4.3,2.3,9.37,0,0.95
1218,313,91,2,2.7,4.9,9.75,0,0.65
1219,301,86,1,3.2,2.1,8.73,1,0.87
1220,295,96,2,2.9,4.3,8.85,1,0.51
1221,329,102,3,2.1,2.3,7.28,1,0.78
1222,334,81,5,2.0,4.0,7.7,1,0.77
1223,339,95,5,2.5,3.9,7.2,1,0.9
1224,280,103,5,4.7,4.8,9.89,0,0.87
1225,312,92,4,5.0,3.7,8.52,1,0.56
1226,286,89,3,4.3,4.3,8.26,0,0.92
1227,310,114,4,4.4,2.7,9.9,0,0.64
1228,294,107,1,3.1,4.6,7.62,1,0.55
1229,321,96,5,3.3,3.1,7.53,0,0.78
1230,300,100,1,2.4,3.8,9.22,1,0.75
1231,325,89,1,3.7,4.2,7.57,1,0.5
1232,318,90,3,3.2,2.2,9.11,0,0.51
1233,327,93,2,2.7,4.4,7.78,1,0.71
1234,293,84,1,2.2,4.3,9.01,0,0.58
1235,287,109,1,3.9,3.2,8.75,0,0.62
1236,310,98,1,2.7,4.1,9.54,1,0.66
1237,287,119,5,2.8,4.3,8.05,0,0.86
1238,306,98,1,3.9,2.9,6.88,0,0.81
1239,281,86,3,4.7,4.0,7.47,0,0.89
1240,318,107,2,3.7,3.4,6.66,0,0.63
1241,315,87,1,4.6,4.8,6.23,1,0.94
1242,303,100,2,2.3,3.8,9.76,1,0.77
1243,299,81,2,3.2,4.7,7.66,1,0.81
1244,286,88,4,3.5,3.9,7.17,1,0.97
1245,308,119,2,4.0,2.7,6.56,0,0.88
1246,324,111,2,4.4,2.5,8.98,1,0.64
1247,333,86,1,3.6,2.4,9.98,1,0.92
1248,314,89,3,4.4,4.5,9.49,0,0.95
1249,332,92,1,3.1,3.5,7.38,1,0.75
1250,297,118,2,2.6,3.3,6.75,1,0.93
1251,290,85,2,3.1,2.6,7.1,0,0.62
1252,327,108,5,2.0,2.4,7.17,0,0.62
1253,296,82,3,4.8,3.1,8.3,1,0.81
1254,291,119,4,2.6,3.0,7.92,0,0.59
1255,318,109,5,2.9,3.7,8.83,0,0.55
1256,282,120,1,2.4,4.2,7.82,0,0.82
1257,281,101,2,3.8,3.2,7.47,0,0.83
1258,331,102,1,3.9,2.5,9.16,0,0.86
1259,329,81,4,4.5,3.4,6.73,1,0.73
1260,334,96,3,4.3,3.4,9.65,1,0.96
1261,286,110,2,3.7,3.6,8.37,0,0.96
1262,308,85,5,2.7,4.1,7.77,1,0.93
1263,306,98,1,3.8,4.2,8.55,1,0.57
1264,310,112,2,3.8,4.6,6.69,1,0.53
1265,303,93,3,4.3,4.3,9.11,1,0.71
1266,313,107,1,3.1,3.4,8.5,1,0.56
1267,308,80,4,4.9,3.5,7.39,1,0.9
1268,290,92,4,2.5,4.6,6.95,1,0.74
1269,284,81,3,4.7,4.0,9.19,1,0.87
1270,319,118,4,2.3,3.5,8.65,1,0.74
1271,324,83,4,2.2,4.3,8.86,1,0.63
1272,313,81,5,2.2,3.6,8.44,0,0.91
1273,284,120,2,3.7,4.2,8.78,0,0.55
1274,287,83,1,4.8,2.2,7.09,1,0.78
1275,300,81,3,2.8,3.3,7.98,0,0.72
1276,301,82,4,4.8,4.3,6.28,1,0.94
1277,324,93,2,2.4,2.2,9.92,0,0.55
1278,308,103,2,3.7,2.9,7.32,1,0.8
1279,298,116,2,2.4,3.5,9.67,1,0.57
1280,309,99,3,2.6,3.1,9.07,1,0.74
1281,320,83,3,4.0,3.3,8.68,0,1.0
1282,323,113,2,2.7,4.9,8.5,0,0.5
1283,327,98,4,3.1,4.6,9.21,1,0.84
1284,340,110,5,3.1,4.3,7.34,1,0.98
1285,285,98,4,3.4,4.5,7.09,1,0.89
1286,289,82,5,2.3,3.4,6.74,1,0.88
1287,290,119,3,3.9,4.8,8.66,1,0.99
1288,292,81,5,4.7,4.2,9.43,1,0.66
1289,334,100,2,4.6,4.8,7.52,0,0.65
1290,317,91,4,2.5,4.0,8.89,1,0.84
1291,291,98,1,2.9,3.2,8.18,1,0.91
1292,316,110,1,2.7,2.5,8.0,0,0.62
1293,295,92,4,3.2,4.3,9.54,1,0.57
1294,330,105,1,2.3,3.4,7.42,1,0.94
1295,337,80,3,3.8,4.6,8.78,0,0.91
1296,284,93,5,4.9,3.4,9.67,1,0.81
1297,296,109,5,4.2,2.6,6.87,1,0.95
1298,302,107,2,2.7,5.0,8.07,0,0.99
1299,299,101,1,4.4,2.6,8.04,1,0.58
1300,288,99,5,4.0,3.8,6.52,1,0.84
1301,300,106,5,2.2,4.5,9.85,1,0.57
1302,304,114,2,4.5,3.5,6.71,0,0.91
1303,315,105,4,3.1,4.5,8.11,1,0.65
1304,297,110,5,3.4,3.8,6.09,0,0.8
1305,285,87,4,3.1,4.6,7.69,0,0.69
1306,330,109,5,3.7,4.2,8.72,1,0.98
1307,340,115,3,3.4,2.8,8.33,1,0.51
1308,294,82,4,3.9,3.0,7.5,0,0.82
1309,311,117,1,2.9,2.8,7.72,0,0.65
1310,330,104,5,2.6,4.8,7.53,1,0.51
1311,340,114,5,4.5,4.0,6.79,0,0.85
1312,338,81,5,3.9,4.7,7.43,1,0.57
1313,311,87,1,3.0,2.5,9.02,0,0.8
1314,298,107,3,3.4,4.9,6.31,1,0.64
1315,290,80,5,2.4,4.2,6.27,0,0.65
1316,334,90,2,4.7,3.3,9.09,1,0.8
1317,296,91,1,4.1,3.6,7.17,1,1.0
1318,328,102,2,3.5,3.9,9.11,0,0.74
1319,304,113,4,4.5,4.8,8.15,0,0.78
1320,299,110,3,4.8,2.6,6.53,0,0.72
1321,337,108,4,3.2,3.7,6.34,1,0.76
1322,309,108,5,4.0,2.1,8.05,0,0.79
1323,322,104,3,3.2,4.2,8.1,0,0.54
1324,289,89,5,2.7,3.0,8.27,0,0.95
1325,301,99,2,3.0,2.6,9.48,1,0.9
1326,293,85,5,4.9,4.3,9.18,1,0.69
1327,301,87,1,3.2,3.3,8.82,1,0.5
1328,289,119,4,2.3,4.5,6.36,1,0.85
1329,320,108,4,3.0,2.3,7.52,1,0.61
1330,314,88,2,2.6,4.4,6.07,0,0.75
1331,324,87,5,2.9,4.9,7.25,0,0.98
1332,318,118,1,2.1,2.0,7.91,1,0.94
1333,294,98,5,4.3,3.8,7.17,1,0.55
1334,296,91,4,2.2,3.9,9.88,0,0.58
1335,285,117,3,2.3,3.2,7.67,0,0.69
1336,328,91,1,2.7,4.0,8.92,0,0.69
1337,294,112,5,4.1,2.5,6.39,1,0.75
1338,292,117,3,2.4,4.8,8.41,1,1.0
1339,297,105,1,4.0,3.5,8.47,0,0.9
1340,294,80,1,2.5,3.4,6.31,0,0.55
1341,292,120,1,2.9,3.3,9.22,0,0.6
1342,280,95,3,4.3,2.9,8.88,0,0.66
1343,299,81,5,2.8,3.8,7.5,1,0.85
1344,304,97,1,4.6,4.8,6.15,1,0.94
1345,318,94,2,2.7,2.5,8.42,0,0.76
1346,314,100,5,2.8,2.6,8.61,1,0.51
1347,284,103,5,3.3,3.3,9.27,0,0.57
1348,280,101,5,3.5,4.0,6.51,0,0.93
1349,317,114,4,4.1,4.5,6.87,0,0.99
1350,308,113,3,4.1,4.2,7.31,1,0.93
1351,281,101,4,4.1,3.1,9.42,1,0.69
1352,340,106,1,2.4,5.0,9.59,0,0.83
1353,282,83,5,4.8,2.7,8.14,1,0.73
1354,293,118,1,2.2,3.7,7.31,1,0.61
1355,320,87,5,3.4,2.4,6.41,1,0.81
1356,306,113,5,2.6,3.3,6.59,1,0.95
1357,330,94,1,3.5,2.8,6.83,0,0.68
1358,284,117,1,3.5,2.6,6.71,0,0.69
1359,316,102,3,3.1,4.2,6.38,0,0.65
1360,305,97,1,4.7,4.9,7.87,0,0.75
1361,322,92,4,4.5,3.5,7.26,0,0.55
1362,312,103,5,4.7,3.0,8.34,0,0.82
1363,284,83,4,3.2,3.8,7.15,1,0.51
1364,292,89,1,2.4,3.3,6.39,0,0.95
1365,325,112,5,3.4,3.4,9.56,1,0.63
1366,309,98,5,2.4,3.2,6.28,1,0.67
1367,305,115,4,3.4,2.8,8.97,0,0.66
1368,316,82,1,2.1,4.1,7.71,1,0.75
1369,324,99,2,3.5,4.2,9.16,0,0.88
1370,282,98,2,4.8,2.9,7.25,1,0.82
1371,298,120,1,4.8,4.0,7.45,0,0.78
1372,307,80,4,3.1,3.2,7.08,0,0.53
1373,340,92,5,4.8,5.0,7.36,0,0.84
1374,304,102,4,4.9,2.9,8.16,1,0.96
1375,301,110,3,3.8,3.2,7.73,0,0.92
1376,288,82,5,3.4,4.2,7.64,0,0.85
1377,294,113,2,2.2,3.3,9.07,0,0.73
1378,310,104,5,3.5,2.3,7.75,0,0.96
1379,281,84,4,3.9,2.8,9.22,1,0.68
1380,282,89,3,2.3,3.3,9.6,0,0.7
1381,332,107,3,2.7,4.1,7.53,0,0.82
1382,325,91,1,2.9,4.9,9.27,1,0.55
1383,316,108,1,3.2,2.1,6.94,1,0.6
1384,305,95,5,4.8,2.3,6.71,1,0.7
1385,312,107,5,2.5,2.8,9.03,0,0.83
1386,300,100,4,4.0,3.3,7.51,0,0.9
1387,296,114,2,4.2,4.1,9.26,0,0.62
1388,329,100,3,2.1,3.8,6.71,0,0.78
1389,326,103,4,3.4,3.8,7.37,1,0.76
1390,301,92,4,4.7,4.6,8.46,1,0.68
1391,310,117,1,3.6,4.0,9.72,1,0.54
1392,310,115,1,4.2,3.6,7.35,0,0.59
1393,280,119,3,2.7,2.8,7.98,1,0.87
1394,319,116,2,4.6,4.4,7.19,1,0.86
1395,340,92,2,3.7,3.4,7.2,1,0.6
1396,287,88,1,2.9,2.1,6.85,0,0.53
1397,325,105,3,3.4,3.4,7.63,0,0.78
1398,287,85,2,3.6,4.7,9.15,1,0.6
1399,340,106,3,4.3,4.5,9.31,0,0.65
1400,329,113,1,4.2,3.3,8.83,1,0.88
1401,299,93,3,2.5,4.6,7.76,0,0.71
1402,300,120,2,2.4,4.2,8.36,0,0.6
1403,281,99,5,2.6,3.3,9.44,0,0.76
1404,318,119,5,3.6,2.4,8.77,0,0.87
1405,315,113,5,2.1,4.1,7.31,0,0.56
1406,318,101,1,2.8,4.1,6.31,0,0.55
1407,316,103,1,4.4,2.3,7.3,0,0.85
1408,285,91,4,4.9,3.2,7.36,0,0.7
1409,301,91,3,3.0,3.5,9.88,0,0.98
1410,294,92,1,3.6,4.9,6.48,1,1.0
1411,327,96,1,4.9,4.5,7.05,1,0.86
1412,295,90,5,2.6,4.5,7.82,0,0.99
1413,297,96,1,3.1,2.3,6.99,0,0.86
1414,292,111,2,4.6,2.1,8.84,1,0.83
1415,290,93,3,4.4,2.4,7.06,1,0.53
1416,300,92,2,3.2,4.2,8.44,0,0.52
1417,339,95,5,4.9,2.8,6.39,0,0.6
1418,295,101,3,3.9,4.6,6.67,1,0.53
1419,295,119,5,2.5,2.8,6.38,1,0.52
1420,280,104,3,2.8,3.7,7.15,0,0.66
1421,328,102,4,4.0,4.8,6.4,1,0.61
1422,336,95,3,2.6,4.0,8.84,1,0.58
1423,283,101,1,4.8,3.9,6.8,0,0.64
1424,320,107,3,2.8,3.0,7.42,1,0.78
1425,302,85,5,3.2,3.5,7.91,1,0.51
1426,292,91,2,2.7,3.9,6.51,0,0.72
1427,280,119,5,4.3,2.9,7.03,1,0.53
1428,317,86,3,4.3,2.2,7.6,0,0.89
1429,333,85,1,2.6,3.8,8.42,0,0.68
1430,285,108,2,2.4,3.4,7.62,0,1.0
1431,283,94,5,3.2,2.4,7.68,0,0.92
1432,309,109,5,2.2,2.1,6.56,1,0.95
1433,295,99,5,3.3,4.3,9.27,1,0.77
1434,294,119,1,2.7,4.6,6.58,0,0.92
1435,301,101,5,2.0,4.1,9.49,1,0.86
1436,295,92,4,4.0,4.5,8.66,1,0.58
1437,304,112,2,4.4,3.3,8.6,0,0.94
1438,309,89,1,4.0,2.1,8.3,0,0.74
1439,289,104,1,2.3,2.1,6.4,0,0.92
1440,316,109,5,2.2,2.3,8.62,0,0.79
1441,340,95,1,2.6,2.7,7.66,1,0.92
1442,310,90,3,3.8,3.1,6.6,1,0.66
1443,325,83,2,2.6,4.3,8.0,1,0.89
1444,292,109,5,4.9,3.5,8.59,0,0.73
1445,298,93,4,2.3,3.7,9.51,0,0.79
1446,339,115,1,4.7,5.0,9.82,1,0.96
1447,301,103,5,3.8,3.9,6.28,0,0.92
1448,325,107,4,3.4,4.9,7.32,0,0.59
1449,337,115,5,2.0,2.0,8.58,0,0.58
1450,281,110,2,2.2,4.5,9.7,1,0.78
1451,323,91,5,2.9,2.5,8.86,1,0.68
1452,313,119,1,2.9,2.1,8.27,0,0.52
1453,329,101,4,3.2,4.2,8.45,0,0.99
1454,311,90,3,2.3,3.3,6.2,1,0.53
1455,307,91,4,4.8,3.6,6.79,1,0.8
1456,305,108,3,3.2,3.5,9.55,1,0.61
1457,295,100,4,3.7,3.2,9.71,0,0.56
1458,304,90,2,2.4,4.3,7.01,1,0.6
1459,291,101,4,4.6,4.5,7.17,0,0.9
1460,327,84,3,2.3,3.4,7.98,0,0.51
1461,295,90,3,2.3,4.5,9.14,1,0.69
1462,296,95,5,2.8,4.5,8.53,1,0.68
1463,327,84,4,3.2,3.6,6.99,0,0.99
1464,282,92,4,4.6,3.7,7.56,0,0.65
1465,324,105,3,4.7,3.2,8.33,1,0.95
1466,310,118,1,5.0,4.2,8.42,0,0.76
1467,316,109,3,3.7,2.4,7.76,1,0.82
1468,311,95,1,4.1,4.6,8.2,0,0.67
1469,280,102,4,2.2,2.2,7.76,0,0.66
1470,283,105,1,4.6,2.6,8.15,0,0.65
1471,283,94,5,2.3,2.7,7.27,1,0.55
1472,307,113,5,4.3,4.1,8.32,0,0.69
1473,287,115,1,4.3,3.2,8.07,0,0.57
1474,313,120,3,4.0,2.3,8.71,0,0.83
1475,286,114,5,4.7,4.4,7.12,1,0.78
1476,303,86,3,3.3,2.5,7.31,0,0.58
1477,327,117,1,4.5,2.5,8.3,0,0.56
1478,285,105,2,4.2,2.7,9.77,1,0.82
1479,308,96,3,2.2,2.0,9.11,0,1.0
1480,292,106,1,2.2,4.7,9.84,1,0.94
1481,294,85,2,2.8,5.0,8.98,0,0.87
1482,310,93,3,3.9,4.3,7.7,0,0.76
1483,317,86,2,3.7,4.8,8.31,0,0.59
1484,335,82,2,3.7,3.3,7.42,1,0.63
1485,301,82,4,3.1,3.7,7.54,0,0.85
1486,292,103,4,4.7,2.9,8.07,1,0.87
1487,294,92,1,3.9,2.1,8.35,0,0.8
1488,310,115,3,3.2,4.0,6.34,0,0.52
1489,327,99,4,2.4,3.1,8.75,1,0.91
1490,283,89,2,3.5,3.5,8.27,0,0.7
1491,318,80,5,4.2,3.4,6.02,0,0.79
1492,310,86,3,5.0,4.6,9.26,1,0.62
1493,304,118,3,2.2,2.7,9.21,0,0.59
1494,330,93,2,3.9,4.9,6.91,1,0.54
1495,305,120,3,2.4,2.6,7.35,0,0.67
1496,335,89,5,2.7,4.3,6.75,0,0.8
1497,325,119,2,2.9,4.2,8.75,0,0.56
1498,280,87,1,4.9,2.2,9.44,1,0.93
1499,305,110,5,3.8,2.5,8.2,0,0.62
1500,295,92,3,4.0,2.0,6.19,0,0.63
1501,336,81,4,4.4,4.4,9.13,0,0.94
1502,306,82,1,2.7,4.6,7.37,0,0.77
1503,301,89,2,4.7,4.4,9.03,0,0.75
1504,333,116,5,4.8,3.2,9.2,0,0.54
1505,298,83,2,2.5,2.5,6.35,1,0.85
1506,300,114,3,3.4,3.3,8.9,0,0.65
1507,291,91,4,3.3,4.2,9.36,0,0.71
1508,335,90,4,3.8,3.1,7.41,0,0.57
1509,287,88,2,3.8,2.3,10.0,1,0.79
1510,333,93,3,4.7,4.8,8.99,0,0.52
1511,306,116,2,4.4,3.3,6.6,1,0.81
1512,297,92,5,2.6,4.6,9.79,1,0.94
1513,315,80,5,2.4,2.8,6.99,0,0.86
1514,312,102,1,3.2,4.7,6.83,0,0.59
1515,297,115,2,4.3,4.2,7.2,1,0.67
1516,319,104,2,4.1,4.4,8.51,0,0.91
1517,332,88,2,3.4,3.1,6.7,0,0.78
1518,328,97,3,4.0,3.4,7.9,0,0.72
1519,338,93,5,4.9,4.3,9.89,0,0.65
1520,293,100,3,3.2,4.3,7.79,1,0.68
1521,323,86,4,5.0,3.6,7.53,0,0.64
1522,338,99,1,2.5,4.1,9.86,1,0.71
1523,320,97,4,3.1,4.6,8.88,1,0.56
1524,324,117,2,2.6,2.4,8.36,1,0.97
1525,332,94,4,3.3,4.7,7.53,1,0.57
1526,337,103,3,2.3,4.9,7.31,0,0.89
1527,339,106,1,2.7,4.8,6.25,0,0.61
1528,281,95,2,4.6,4.5,6.71,1,0.79
1529,338,101,2,2.2,4.9,7.45,1,0.53
1530,318,115,1,4.7,2.9,7.46,0,0.62
1531,307,106,1,4.6,4.3,8.04,0,0.6
1532,280,81,1,5.0,2.3,6.86,1,0.82
1533,322,117,4,2.6,2.7,7.43,1,0.59
1534,298,94,4,3.6,4.4,7.44,0,0.78
1535,321,81,3,2.3,4.3,9.46,0,0.89
1536,315,117,5,4.2,3.1,7.45,1,0.64
1537,308,102,5,4.3,4.7,7.04,1,0.81
1538,338,106,1,4.1,3.7,9.47,0,0.86
1539,316,114,4,2.4,4.1,7.37,1,0.53
1540,302,108,4,3.4,3.3,8.42,1,0.64
1541,286,113,5,4.2,2.2,9.7,0,0.86
1542,316,94,4,2.7,4.4,8.42,1,0.61
1543,294,84,2,3.6,2.7,6.8,1,0.93
1544,325,100,3,4.7,2.5,9.77,0,0.54
1545,312,98,1,3.9,2.6,6.34,1,0.57
1546,284,80,5,2.9,3.9,6.17,1,0.88
1547,337,116,3,3.3,2.0,9.22,1,0.89
1548,287,113,5,2.2,3.6,7.55,0,0.81
1549,318,108,4,3.4,3.5,9.26,1,0.81
1550,309,97,2,4.5,2.9,9.65,1,0.67
1551,309,117,5,2.6,4.8,8.53,0,0.8
1552,301,97,1,3.2,2.6,8.59,0,0.54
1553,326,109,4,2.8,2.1,8.09,1,0.72
1554,284,83,5,4.6,4.9,7.29,1,0.99
1555,291,105,2,4.1,4.9,8.56,0,0.81
1556,331,119,3,3.6,3.8,7.04,0,0.54
1557,338,84,2,2.9,3.3,8.99,0,0.71
1558,298,101,5,3.1,3.7,8.15,1,0.56
1559,319,118,5,3.2,3.3,9.6,1,0.86
1560,321,113,3,2.2,2.5,6.13,0,0.57
1561,312,88,2,3.3,4.4,7.91,0,0.77
1562,321,116,4,2.7,3.3,7.32,0,0.6
1563,337,95,2,3.2,2.3,6.05,0,0.85
1564,326,117,3,4.7,4.4,7.81,0,0.59
1565,293,94,3,3.3,4.6,6.45,0,0.79
1566,299,98,5,3.5,5.0,6.58,1,0.57
1567,322,95,3,4.1,3.1,7.42,1,0.86
1568,332,91,2,3.7,3.2,8.49,1,0.57
1569,300,110,4,4.5,3.5,7.18,1,0.87
1570,337,118,4,4.2,2.6,6.93,1,0.6
1571,339,85,5,4.1,4.0,8.37,1,0.75
1572,285,91,1,3.3,4.4,8.83,0,0.87
1573,318,93,4,2.6,4.7,6.1,0,0.95
1574,286,115,1,4.9,4.4,8.41,1,0.51
1575,305,118,5,3.1,3.3,7.52,0,0.61
1576,339,117,2,2.9,4.7,6.6,0,0.65
1577,324,100,3,4.1,4.3,9.23,1,0.65
1578,326,83,4,2.1,4.6,8.58,1,0.62
1579,288,94,2,3.1,2.7,7.54,1,0.89
1580,291,113,3,4.0,3.8,9.74,1,0.81
1581,315,84,1,3.7,2.6,7.93,1,0.6
1582,297,94,2,4.8,2.6,6.37,1,0.57
1583,316,107,2,2.9,2.8,6.59,0,0.73
